mode,text,pref_path,rej_path,rp,rr,correct
T2A,A soothing lullaby with gentle bell sounds that create a calming and tender atmosphere.,data/evaluation/rm/musicprefs/wav/0_0.wav,data/evaluation/rm/musicprefs/wav/0_1.wav,-17.459796905517578,-12.915454864501953,0
T2A,"Drum cover of a pop song with energetic tom rolls, shimmering cymbals, and punchy kick and snare hits.",data/evaluation/rm/musicprefs/wav/1_1.wav,data/evaluation/rm/musicprefs/wav/1_0.wav,-17.958391189575195,-12.901493072509766,0
T2A,"Upbeat and funky tune with digital drums, rhythmic guitar chords, and high-register synth strings.",data/evaluation/rm/musicprefs/wav/2_0.wav,data/evaluation/rm/musicprefs/wav/2_1.wav,-16.149852752685547,-15.827322959899902,0
T2A,"Fast-paced Western Classical music with lively violin harmony, electric cello, piano and string accompaniments that are colourful, well-layered, dense, rich, full, pleasant, cheerful, merry and elegant.",data/evaluation/rm/musicprefs/wav/3_0.wav,data/evaluation/rm/musicprefs/wav/3_1.wav,-12.691204071044922,-12.331710815429688,0
T2A,"Fast-paced Western Classical music with lively violin harmony, electric cello, piano and string accompaniments that are colourful, well-layered, dense, rich, full, pleasant, cheerful, merry and elegant.",data/evaluation/rm/musicprefs/wav/4_1.wav,data/evaluation/rm/musicprefs/wav/4_0.wav,-13.902509689331055,-14.581997871398926,1
T2A,"Electro song with stuttering synth melody, buzzy synth bass, and distorted electric guitar melody that creates a suspenseful and energetic atmosphere.",data/evaluation/rm/musicprefs/wav/5_1.wav,data/evaluation/rm/musicprefs/wav/5_0.wav,-13.925439834594727,-16.92974853515625,1
T2A,Bass guitar instrumental with a groovy high-pitched lick followed by a rock and roll pattern played in different sequences.,data/evaluation/rm/musicprefs/wav/7_0.wav,data/evaluation/rm/musicprefs/wav/7_1.wav,-14.750781059265137,-15.002784729003906,1
T2A,"Fast-paced electronic instrumental with digital drums, synthesizer arrangements, and DJ mixer effects, played live outdoors with enthusiastic audience participation.",data/evaluation/rm/musicprefs/wav/8_0.wav,data/evaluation/rm/musicprefs/wav/8_1.wav,-14.103446960449219,-13.228090286254883,0
T2A,"Upbeat funk song with two guitars, fast percussion, and a continuous bass pattern, recorded live with crowd noise.",data/evaluation/rm/musicprefs/wav/9_1.wav,data/evaluation/rm/musicprefs/wav/9_0.wav,-13.340566635131836,-13.371692657470703,1
T2A,"Up-tempo and mellow drum and bass techno song with clapping hands, rim shots, and high tube bass synth.",data/evaluation/rm/musicprefs/wav/10_1.wav,data/evaluation/rm/musicprefs/wav/10_0.wav,-16.162067413330078,-15.63574504852295,0
T2A,"An alternative/indie song with groovy bass, punchy drums, piano chords, and synth melodies that create an addictive and retro sound.",data/evaluation/rm/musicprefs/wav/11_1.wav,data/evaluation/rm/musicprefs/wav/11_0.wav,-13.457860946655273,-14.921713829040527,1
T2A,"Folk tune with accordion, bass, guitar, and violin playing an ascending melody in waltz time.",data/evaluation/rm/musicprefs/wav/12_1.wav,data/evaluation/rm/musicprefs/wav/12_0.wav,-14.832530975341797,-14.88201904296875,1
T2A,"An upbeat instrumental with groovy bass, keyboard harmony, percussion hits, and steady drumming rhythm that's perfect for dancing.",data/evaluation/rm/musicprefs/wav/13_0.wav,data/evaluation/rm/musicprefs/wav/13_1.wav,-14.847556114196777,-13.867898941040039,0
T2A,A meditative piece featuring two music bowls with sustained notes and no other instruments or vocals.,data/evaluation/rm/musicprefs/wav/14_1.wav,data/evaluation/rm/musicprefs/wav/14_0.wav,-15.422199249267578,-14.274341583251953,0
T2A,"Classical music piece with a gentle piano tune and a theremin playing the main melody, creating a unique and heart-touching atmosphere suitable for an animation movie/TV series.",data/evaluation/rm/musicprefs/wav/15_1.wav,data/evaluation/rm/musicprefs/wav/15_0.wav,-12.76390266418457,-12.088785171508789,0
